Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Artem KHMELIVSKYI POSITION,Artem KHMELIVSKYI LAP TIME,Artem KHMELIVSKYI ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME
1,9.68,9.68,3,10.02,10.02,2,9.83,9.83,6,10.33,10.33,5,10.26,,4,10.18,10.18
5,13.33,23.01,2,12.76,22.78,1,12.80,22.63,6,12.79,23.12,3,12.68,,4,12.82,23.00
2,10.77,33.78,3,11.01,33.79,1,11.03,33.66,6,10.99,34.11,5,11.14,,4,10.88,33.88
1,9.89,43.67,2,9.97,43.76,3,10.14,43.80,6,10.26,44.37,5,10.04,,4,9.94,43.82
3,9.99,53.66,4,10.16,53.92,1,9.77,53.57,6,9.81,54.18,2,9.52,,5,10.22,54.04
3,9.67,1:03.33,4,9.58,1:03.50,2,9.65,1:03.22,6,9.57,1:03.75,1,9.48,,5,9.58,1:03.62
4,9.90,1:13.23,3,9.71,1:13.21,2,9.91,1:13.13,6,9.65,1:13.40,1,9.92,,5,9.71,1:13.33
4,10.16,1:23.39,3,10.08,1:23.29,1,9.99,1:23.12,6,10.28,1:23.68,2,10.09,,5,10.17,1:23.50
4,9.82,1:33.21,3,9.82,1:33.11,1,9.68,1:32.80,6,9.95,1:33.63,2,9.86,,5,9.82,1:33.32
4,9.38,1:42.59,3,9.25,1:42.36,1,9.46,1:42.26,6,10.13,1:43.76,2,9.31,,5,9.36,1:42.68
3,9.15,1:51.74,1,9.02,1:51.38,5,10.21,1:52.47,6,10.48,1:54.24,2,9.33,,4,9.13,1:51.81
3,9.18,2:00.92,1,9.14,2:00.52,5,9.95,2:02.42,6,11.09,2:05.33,2,9.11,,4,9.23,2:01.04
3,9.50,2:10.42,1,9.11,2:09.63,5,10.78,2:13.20,6,11.29,2:16.62,2,9.09,,4,9.44,2:10.48
3,9.95,2:20.37,1,9.20,2:18.83,5,12.61,2:25.81,6,11.45,2:28.07,2,9.33,,4,9.98,2:20.46
