Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME
3,14.08,14.08,2,14.05,14.05,1,14.00,14.00,4,14.31,14.31
2,10.21,24.29,3,10.42,24.47,1,10.21,24.21,4,10.28,24.59
2,9.84,34.13,3,9.84,34.31,1,9.82,34.03,4,9.76,34.35
2,9.48,43.61,4,9.60,43.91,1,9.49,43.52,3,9.40,43.75
2,9.32,52.93,4,9.20,53.11,1,9.36,52.88,3,9.29,53.04
2,9.26,1:02.19,4,9.28,1:02.39,1,9.22,1:02.10,3,9.27,1:02.31
2,9.16,1:11.35,4,9.30,1:11.69,1,9.16,1:11.26,3,9.29,1:11.60
2,9.18,1:20.53,3,9.56,1:21.25,1,9.16,1:20.42,4,9.77,1:21.37
2,9.45,1:29.980,3,10.00,1:31.247,1,9.31,1:29.726,4,9.97,1:31.334
