Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
4,12.77,12.77,2,12.68,12.68,3,12.74,12.74,1,12.62,12.62
4,9.51,22.28,3,9.46,22.14,2,9.38,22.12,1,9.44,22.06
4,9.25,31.53,3,9.28,31.42,2,9.20,31.32,1,9.15,31.21
4,9.29,40.82,3,9.30,40.72,2,9.29,40.61,1,9.26,40.47
4,9.21,50.03,3,9.21,49.93,2,9.22,49.83,1,9.25,49.72
4,9.32,59.35,3,9.34,59.27,2,9.34,59.17,1,9.36,59.08
4,9.19,1:08.54,2,9.13,1:08.40,3,9.37,1:08.54,1,9.25,1:08.33
3,9.15,1:17.69,1,9.08,1:17.48,4,9.49,1:18.03,2,9.35,1:17.68
2,9.05,1:26.731,1,9.07,1:26.546,4,9.45,1:27.473,3,9.55,1:27.227
