Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME
5,14.80,14.80,4,14.69,14.69,2,14.47,14.47,1,14.29,14.29,3,14.60,14.60,6,14.98,14.98
5,11.23,26.03,4,11.09,25.78,2,11.19,25.66,1,11.24,25.53,6,11.60,26.20,3,10.77,25.75
5,10.09,36.12,4,10.18,35.96,2,10.16,35.82,1,10.16,35.69,6,10.09,36.29,3,10.18,35.93
4,9.68,45.80,1,9.34,45.30,2,9.59,45.41,3,9.88,45.57,6,9.91,46.20,5,10.07,46.00
4,9.38,55.18,1,9.38,54.68,2,9.36,54.77,3,9.33,54.90,6,9.88,56.08,5,9.59,55.59
4,9.28,1:04.46,1,9.19,1:03.87,2,9.18,1:03.95,3,9.15,1:04.05,6,10.08,1:06.16,5,9.49,1:05.08
4,9.65,1:14.11,3,9.34,1:13.21,1,9.18,1:13.13,2,9.13,1:13.18,6,10.56,1:16.72,5,9.72,1:14.80
4,10.12,1:24.23,2,9.59,1:22.80,1,9.52,1:22.65,3,9.82,1:23.00,6,11.06,1:27.78,5,10.00,1:24.80
0,,PEN,1,9.48,1:32.274,2,9.77,1:32.420,3,9.90,1:32.897,5,11.43,1:39.209,4,10.01,1:34.804
