Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,SHIN Sae-Bom POSITION,SHIN Sae-Bom LAP TIME,SHIN Sae-Bom ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
1,12.43,12.43,2,12.56,12.56,0,,,3,12.67,12.67
1,9.72,22.15,3,9.64,22.21,2,0.00,22.17,4,9.59,22.27
2,9.95,32.11,3,10.04,32.26,4,10.17,32.35,1,9.76,32.03
1,9.74,41.85,3,9.80,42.06,4,9.74,42.10,2,9.91,41.95
1,10.06,51.92,2,10.08,52.14,4,10.18,52.28,3,10.19,52.15
1,10.26,1:02.18,3,10.33,1:02.48,4,10.29,1:02.58,2,10.27,1:02.42
1,9.98,1:12.17,4,9.97,1:12.45,3,9.78,1:12.36,2,9.87,1:12.29
1,9.53,1:21.70,4,9.88,1:22.33,2,9.56,1:21.92,3,9.71,1:22.01
1,9.83,1:31.525,4,10.05,1:32.379,2,9.65,1:31.566,3,10.27,1:32.276
