Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Bulat VALIULLIN POSITION,Bulat VALIULLIN LAP TIME,Bulat VALIULLIN ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME
3,13.353,13.353,4,13.523,13.523,1,13.025,13.025,2,13.345,13.345
2,10.199,23.551,4,10.314,23.836,1,10.349,23.373,3,10.288,23.633
3,10.127,33.678,4,10.121,33.956,1,10.174,33.547,2,10.041,33.673
3,9.655,43.332,4,9.609,43.565,1,9.528,43.074,2,9.609,43.282
3,9.536,52.867,4,9.405,52.969,1,9.485,52.559,2,9.465,52.747
2,9.461,1:02.328,4,9.595,1:02.563,1,9.666,1:02.224,3,9.590,1:02.337
3,9.804,1:12.131,4,9.693,1:12.256,1,9.724,1:11.948,2,9.738,1:12.074
4,10.159,1:22.290,1,9.181,1:21.436,3,9.985,1:21.932,2,9.775,1:21.848
4,10.48,1:32.768,1,9.60,1:31.031,3,10.05,1:31.974,2,10.07,1:31.916
