Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME
1,6.69,6.69,2,6.88,6.88,3,7.01,7.01,4,7.14,7.14,5,7.29,7.29
1,8.82,15.51,2,8.78,15.66,3,8.82,15.83,4,8.77,15.91,5,8.78,16.07
2,8.40,23.91,1,8.23,23.89,3,8.27,24.10,3,8.19,24.10,5,8.44,24.51
3,8.67,32.58,1,8.49,32.38,4,8.53,32.63,2,8.40,32.50,5,8.73,33.24
3,8.72,41.309,1,8.73,41.11,4,8.81,41.449,2,8.69,41.19,5,8.88,42.125
