KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,HAN Yueshuang POSITION,HAN Yueshuang LAP TIME,HAN Yueshuang ELAPSED TIME
4,10.51,10.51,5,10.83,10.83,1,10.13,10.13,3,10.38,10.38,2,10.20,10.20
4,13.41,23.92,5,13.37,24.20,2,13.70,23.83,3,13.50,23.88,1,13.24,23.44
4,12.97,36.89,5,13.15,37.35,3,13.04,36.87,2,12.99,36.87,1,13.27,36.71
4,12.84,49.73,5,12.84,50.19,2,12.77,49.64,3,12.80,49.67,1,12.87,49.58
1,11.30,1:01.03,2,11.09,1:01.28,3,11.85,1:01.49,5,12.06,1:01.73,4,11.96,1:01.54
1,10.71,1:11.74,3,10.83,1:12.11,2,10.54,1:12.03,5,10.58,1:12.31,4,10.59,1:12.13
2,10.58,1:22.32,3,10.41,1:22.52,1,10.27,1:22.30,4,10.32,1:22.63,5,10.54,1:22.67
4,10.56,1:32.88,3,10.30,1:32.82,2,10.50,1:32.80,1,10.14,1:32.77,5,10.53,1:33.20
1,10.34,1:43.22,5,10.66,1:43.48,2,10.43,1:43.23,3,10.48,1:43.25,4,10.10,1:43.30
1,9.62,1:52.84,2,9.67,1:53.15,3,10.04,1:53.27,5,10.20,1:53.45,4,9.98,1:53.28
1,9.53,2:02.37,2,9.71,2:02.86,3,9.79,2:03.06,4,9.79,2:03.24,5,11.60,2:04.88
1,9.44,2:11.81,2,9.69,2:12.55,5,36.16,2:39.22,3,9.66,2:12.90,4,11.68,2:16.56
1,10.16,2:21.97,2,9.83,2:22.38,5,20.76,2:59.98,3,11.22,2:24.12,4,11.72,2:28.28
1,10.24,2:32.203,2,9.93,2:32.310,4,14.92,3:14.896,0,,DQ,3,12.72,2:40.998
