KUCZYNSKI Lukasz POSITION,KUCZYNSKI Lukasz LAP TIME,KUCZYNSKI Lukasz ELAPSED TIME,Yevgeniy REBIK POSITION,Yevgeniy REBIK LAP TIME,Yevgeniy REBIK ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Florian BECKER POSITION,Florian BECKER LAP TIME,Florian BECKER ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME
2,7.01,7.01,5,7.39,7.39,1,6.81,6.81,3,7.20,7.20,4,7.38,7.38
2,9.00,16.01,5,9.34,16.73,1,8.84,15.65,3,9.25,16.45,4,9.16,16.54
2,8.79,24.80,5,8.53,25.26,1,8.36,24.01,4,8.79,25.24,3,8.54,25.08
2,8.86,33.66,4,8.62,33.88,1,8.57,32.58,5,8.89,34.13,3,8.70,33.78
4,9.18,42.84,3,8.71,42.59,1,8.74,41.32,5,9.02,43.15,2,8.73,42.51
