LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME
3,7.90,7.90,1,7.54,7.54,2,7.70,7.70,4,8.09,8.09,5,8.22,8.22
1,10.61,18.51,2,10.98,18.52,3,10.86,18.56,4,10.59,18.68,5,10.55,18.77
2,11.14,29.65,5,11.39,29.91,3,11.20,29.76,4,11.16,29.84,1,10.70,29.47
2,10.07,39.72,5,10.16,40.07,4,10.16,39.92,3,9.97,39.81,1,10.16,39.63
2,10.58,50.30,5,10.65,50.72,4,10.67,50.59,3,10.58,50.39,1,10.56,50.19
2,10.47,1:00.77,5,10.38,1:01.10,4,10.41,1:01.00,3,10.48,1:00.87,1,10.47,1:00.66
3,10.24,1:11.01,5,10.17,1:11.27,4,10.13,1:11.13,1,9.94,1:10.81,2,10.25,1:10.91
1,9.76,1:20.77,5,9.93,1:21.20,3,9.88,1:21.01,2,10.12,1:20.93,4,10.12,1:21.03
1,9.66,1:30.43,4,9.64,1:30.84,3,9.67,1:30.68,2,9.57,1:30.50,5,10.14,1:31.17
1,9.55,1:39.98,4,9.54,1:40.38,3,9.60,1:40.28,2,9.59,1:40.09,5,9.97,1:41.14
1,9.45,1:49.43,3,9.35,1:49.73,4,9.78,1:50.06,2,9.42,1:49.51,5,10.01,1:51.15
1,9.58,1:59.01,3,9.50,1:59.23,4,10.26,2:00.32,2,9.58,1:59.09,5,10.45,2:01.60
1,9.64,2:08.65,3,9.83,2:09.06,4,10.98,2:11.30,2,9.77,2:08.86,5,10.99,2:12.59
1,9.66,2:18.302,3,9.61,2:18.664,4,11.26,2:22.558,2,9.67,2:18.524,5,11.05,2:23.632
