Matthieu de BOISSET POSITION,Matthieu de BOISSET LAP TIME,Matthieu de BOISSET ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME
1,8.344,8.344,4,8.867,8.867,6,9.221,9.221,3,8.779,8.779,2,8.471,8.471,5,9.036,9.036
2,11.707,20.050,3,11.286,20.152,6,11.059,20.279,5,11.500,20.278,1,11.463,19.934,4,11.139,20.174
4,10.950,31.000,2,10.774,30.926,5,10.973,31.252,6,11.133,31.411,1,10.968,30.901,3,10.802,30.976
4,11.098,42.097,2,11.016,41.942,6,15.662,46.914,1,10.432,41.843,5,11.288,42.188,3,11.101,42.076
3,10.702,52.799,5,13.294,55.236,6,9.543,56.457,1,10.862,52.704,2,10.555,52.743,4,10.778,52.853
3,10.354,1:03.152,5,8.033,1:03.268,6,9.371,1:05.827,4,10.466,1:03.170,1,10.268,1:03.010,2,10.179,1:03.032
4,9.941,1:13.093,5,9.869,1:13.137,6,9.612,1:15.439,3,9.863,1:13.033,1,9.802,1:12.812,2,9.864,1:12.896
5,10.205,1:23.297,4,9.937,1:23.074,6,9.540,1:24.978,3,9.959,1:22.991,1,9.999,1:22.810,2,10.075,1:22.970
5,10.260,1:33.556,3,10.035,1:33.109,6,9.719,1:34.697,4,10.363,1:33.353,1,10.118,1:32.927,2,10.005,1:32.975
5,9.891,1:43.447,3,9.732,1:42.840,6,9.596,1:44.292,4,9.509,1:42.862,2,9.687,1:42.614,1,9.603,1:42.577
6,12.755,1:56.202,3,9.101,1:51.940,5,9.582,1:53.873,4,9.161,1:52.022,1,8.979,1:51.592,2,9.046,1:51.622
5,6.897,2:03.098,2,9.079,2:01.019,6,9.957,2:03.830,4,9.028,2:01.050,1,9.282,2:00.874,3,9.420,2:01.042
6,10.754,2:13.852,3,9.581,2:10.600,5,9.965,2:13.794,4,9.900,2:10.950,1,9.442,2:10.316,2,9.289,2:10.330
3,9.71,2:23.559,0,,DQ,4,11.58,2:25.373,2,10.44,2:21.389,1,9.65,2:19.958,0,,DQ
