Wojciech KAMIENSKI POSITION,Wojciech KAMIENSKI LAP TIME,Wojciech KAMIENSKI ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME
2,7.24,7.24,1,7.16,7.16,4,7.46,7.46,3,7.33,7.33
3,9.40,16.64,1,9.32,16.48,4,9.49,16.95,2,9.30,16.63
3,9.05,25.69,1,8.97,25.45,4,9.00,25.95,2,8.93,25.56
3,9.08,34.77,1,9.12,34.57,4,9.02,34.97,2,9.02,34.58
3,9.35,44.117,2,9.52,44.082,4,9.18,44.146,1,9.42,43.993
