Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME
2,6.99,6.99,1,6.79,6.79,4,7.08,7.08,3,7.05,7.05,5,7.19,7.19
3,9.14,16.13,1,8.97,15.76,4,9.11,16.19,2,8.88,15.93,5,9.13,16.32
5,8.86,24.99,2,8.70,24.46,4,8.60,24.79,1,8.53,24.46,3,8.43,24.75
5,8.84,33.83,1,8.75,33.21,4,8.94,33.73,2,8.82,33.28,3,8.56,33.31
5,8.86,42.686,1,8.93,42.137,4,8.79,42.515,3,9.07,42.342,2,8.95,42.258
