Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,KIM Ryong Chol POSITION,KIM Ryong Chol LAP TIME,KIM Ryong Chol ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
5,9.49,9.49,4,9.37,9.37,3,9.36,9.36,2,9.21,9.21,1,9.12,9.12,6,9.67,9.67
5,11.64,21.13,4,11.64,21.01,1,11.22,20.58,3,11.69,20.90,2,11.58,20.70,6,11.63,21.30
5,10.91,32.04,4,10.91,31.92,1,10.94,31.52,3,10.89,31.79,2,10.94,31.64,6,10.86,32.16
5,11.27,43.31,4,11.26,43.18,1,11.39,42.91,3,11.28,43.07,2,11.35,42.99,6,11.23,43.39
4,11.29,54.60,2,11.27,54.45,3,11.62,54.53,1,11.30,54.37,5,11.67,54.66,6,11.38,54.77
4,10.84,1:05.44,2,10.76,1:05.21,3,10.81,1:05.34,1,10.73,1:05.10,6,10.97,1:05.63,5,10.78,1:05.55
3,10.73,1:16.17,2,10.86,1:16.07,4,10.92,1:16.26,1,10.83,1:15.93,6,10.82,1:16.45,5,10.73,1:16.28
3,10.63,1:26.80,2,10.65,1:26.72,6,10.83,1:27.09,1,10.64,1:26.57,5,10.52,1:26.97,4,10.60,1:26.88
3,10.35,1:37.15,2,10.31,1:37.03,6,10.40,1:37.49,1,10.32,1:36.89,5,10.42,1:37.39,4,10.35,1:37.23
3,9.80,1:46.95,2,9.80,1:46.83,6,9.79,1:47.28,1,9.89,1:46.78,5,9.77,1:47.16,4,9.83,1:47.06
3,9.32,1:56.27,1,9.13,1:55.96,6,9.42,1:56.70,2,9.40,1:56.18,5,9.42,1:56.58,4,9.29,1:56.35
3,9.12,2:05.39,1,9.19,2:05.15,6,9.49,2:06.19,2,9.07,2:05.25,5,9.60,2:06.18,4,9.14,2:05.49
2,9.16,2:14.55,1,9.33,2:14.48,6,9.98,2:16.17,3,9.32,2:14.57,5,9.88,2:16.06,4,9.24,2:14.73
1,9.04,2:23.582,2,9.41,2:23.888,6,10.20,2:26.361,3,9.50,2:24.067,5,10.16,2:26.213,4,9.61,2:24.337
