Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME
3,6.984,6.984,1,6.671,6.671,2,6.974,6.974,4,7.555,7.555
2,9.074,16.057,1,8.986,15.656,3,9.185,16.159,4,9.334,16.889
2,8.872,24.929,1,9.066,24.722,3,8.941,25.099,4,9.283,26.171
1,9.007,33.936,2,9.242,33.964,3,9.170,34.268,4,9.306,35.477
1,9.36,43.295,2,9.58,43.535,3,9.52,43.784,4,9.71,45.178
