Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Christopher JARDEN POSITION,Christopher JARDEN LAP TIME,Christopher JARDEN ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
2,8.20,8.20,1,7.93,7.93,4,8.64,8.64,3,8.50,8.50
2,10.22,18.42,1,10.20,18.13,4,10.33,18.97,3,10.15,18.65
2,9.72,28.14,1,9.92,28.05,4,9.52,28.49,3,9.67,28.32
2,9.96,38.10,1,9.96,38.01,4,9.81,38.30,3,9.90,38.22
2,10.08,48.18,1,10.04,48.05,4,10.07,48.37,3,10.06,48.28
2,9.95,58.13,1,10.00,58.05,4,10.01,58.38,3,10.00,58.28
2,9.98,1:08.11,1,9.97,1:08.02,4,9.92,1:08.30,3,9.93,1:08.21
2,9.90,1:18.01,1,9.90,1:17.92,4,9.97,1:18.27,3,9.93,1:18.14
2,9.95,1:27.96,1,9.94,1:27.86,4,9.95,1:28.22,3,9.92,1:28.06
1,9.77,1:37.73,3,10.09,1:37.95,4,9.89,1:38.11,2,9.82,1:37.88
1,9.50,1:47.23,3,9.95,1:47.90,4,9.89,1:48.00,2,9.51,1:47.39
1,9.50,1:56.73,3,10.35,1:58.25,4,10.50,1:58.50,2,9.45,1:56.84
2,9.73,2:06.46,3,10.49,2:08.74,4,10.93,2:09.43,1,9.61,2:06.45
2,9.79,2:16.245,3,10.76,2:19.491,4,10.84,2:20.270,1,9.51,2:15.957
