Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Cheyenne GOH POSITION,Cheyenne GOH LAP TIME,Cheyenne GOH ELAPSED TIME
2,13.86,13.86,3,14.08,14.08,4,14.27,14.27,1,13.74,13.74,5,14.43,14.43
2,10.58,24.44,3,10.47,24.55,4,10.42,24.69,1,10.61,24.35,5,10.37,24.80
2,10.27,34.71,3,10.29,34.84,4,10.31,35.00,1,10.26,34.61,5,10.34,35.14
2,9.95,44.66,3,9.91,44.75,4,9.80,44.80,1,9.94,44.55,5,10.00,45.14
3,9.72,54.38,4,9.71,54.46,1,9.33,54.13,2,9.73,54.28,5,9.99,55.13
4,9.61,1:03.99,3,9.38,1:03.84,1,9.47,1:03.60,2,9.45,1:03.73,5,10.22,1:05.35
4,9.56,1:13.55,3,9.54,1:13.38,1,9.57,1:13.17,2,9.55,1:13.28,5,10.62,1:15.97
4,9.64,1:23.19,3,9.54,1:22.92,1,9.56,1:22.73,2,9.55,1:22.83,5,11.10,1:27.07
4,10.18,1:33.378,3,9.60,1:32.52,1,9.60,1:32.33,2,9.59,1:32.42,5,11.45,1:38.520
