SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
2,7.12,7.12,3,7.18,7.18,1,6.92,6.92,4,7.27,7.27
3,9.43,16.55,2,9.36,16.54,1,9.38,16.30,4,9.42,16.69
4,9.54,26.09,3,9.43,25.97,1,8.99,25.29,2,9.03,25.72
4,11.91,38.00,3,9.21,35.18,1,9.32,34.61,2,9.08,34.80
0,,PEN,3,9.78,44.958,1,9.58,44.188,2,9.60,44.391
