SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME
2,13.36,13.36,4,13.61,13.61,5,13.77,13.77,1,13.33,13.33,3,13.48,
1,10.09,23.45,4,10.03,23.64,5,10.05,23.82,2,10.13,23.46,3,10.07,
3,10.08,33.53,4,9.97,33.61,5,9.96,33.78,1,9.88,33.34,2,9.93,
2,9.58,43.11,4,9.64,43.25,5,9.61,43.39,1,9.71,43.05,3,9.68,
1,9.20,52.31,4,9.41,52.66,5,9.28,52.67,2,9.38,52.43,3,9.39,
1,9.38,1:01.69,5,10.50,1:03.16,4,9.44,1:02.11,2,9.35,1:01.78,3,9.35,
1,9.38,1:11.07,5,10.08,1:13.24,4,9.28,1:11.39,2,9.39,1:11.17,3,9.36,
1,9.57,1:20.64,5,10.57,1:23.81,3,9.44,1:20.83,2,9.57,1:20.74,4,9.67,
1,9.81,1:30.45,5,11.43,1:35.24,3,9.95,1:30.78,2,9.80,1:30.54,4,10.19,
