Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Alex BOISVERT-LACROIX POSITION,Alex BOISVERT-LACROIX LAP TIME,Alex BOISVERT-LACROIX ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
1,6.61,6.61,3,6.83,6.83,2,6.67,6.67,4,6.93,6.93
1,9.00,15.61,2,8.80,15.63,3,9.09,15.77,4,9.07,16.00
2,8.51,24.12,1,8.35,23.99,4,29.13,44.90,3,14.96,30.96
2,8.61,32.73,1,8.43,32.43,4,15.09,1:00.00,3,15.89,46.86
2,8.91,41.638,1,8.91,41.334,0,,DQ,3,12.45,59.306
