Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
3,13.10,13.10,2,12.99,12.99,4,13.19,13.19,1,12.88,12.88
3,9.71,22.81,2,9.68,22.67,4,9.77,22.96,1,9.66,22.54
3,9.71,32.52,2,9.73,32.40,4,9.70,32.66,1,9.76,32.30
3,9.61,42.13,2,9.65,42.05,4,9.61,42.27,1,9.65,41.95
3,9.72,51.85,2,9.78,51.83,4,9.80,52.07,1,9.76,51.71
1,9.01,1:00.86,3,9.29,1:01.12,4,9.31,1:01.38,2,9.25,1:00.96
1,9.26,1:10.12,3,9.24,1:10.36,4,9.55,1:10.93,2,9.30,1:10.26
1,9.35,1:19.47,3,9.37,1:19.73,4,9.65,1:20.58,2,9.32,1:19.58
1,9.44,1:28.907,3,9.31,1:29.039,4,9.95,1:30.528,2,9.40,1:28.978
