Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,Lilia DZHUSTROVA POSITION,Lilia DZHUSTROVA LAP TIME,Lilia DZHUSTROVA ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Anja CHONG POSITION,Anja CHONG LAP TIME,Anja CHONG ELAPSED TIME
3,17.78,17.78,4,17.91,17.91,2,17.66,17.66,1,17.49,17.49
4,11.88,29.66,3,11.69,29.60,1,11.87,29.53,2,12.09,29.58
3,10.54,40.20,1,10.23,39.83,2,10.57,40.10,4,10.98,40.56
3,9.99,50.19,1,10.21,50.04,2,10.02,50.12,4,10.04,50.60
2,9.92,1:00.11,3,10.17,1:00.21,1,9.85,59.97,4,9.98,1:00.58
2,9.80,1:09.91,3,10.03,1:10.24,1,9.82,1:09.79,4,10.21,1:10.79
1,9.74,1:19.65,3,10.18,1:20.42,1,9.86,1:19.65,4,10.64,1:21.43
2,10.39,1:30.04,3,10.77,1:31.19,1,10.25,1:29.90,4,11.25,1:32.68
2,10.61,1:40.656,3,11.44,1:42.636,1,10.18,1:40.083,4,11.60,1:44.283
