Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME
2,16.84,16.84,1,16.61,16.61,4,17.14,17.14,3,17.02,17.02
2,12.63,29.47,1,12.73,29.34,3,12.35,29.49,4,12.58,29.60
3,10.69,40.16,2,10.70,40.04,1,10.37,39.86,4,10.69,40.29
3,10.28,50.44,2,10.30,50.34,1,10.37,50.23,4,10.30,50.59
3,9.88,1:00.32,1,9.85,1:00.19,2,10.07,1:00.30,4,9.93,1:00.52
1,9.46,1:09.78,1,9.59,1:09.78,3,9.65,1:09.95,4,9.51,1:10.03
1,8.93,1:18.71,2,9.08,1:18.86,3,9.05,1:19.00,4,9.13,1:19.16
2,9.20,1:27.91,1,9.04,1:27.90,3,9.10,1:28.10,4,9.06,1:28.22
2,9.04,1:36.95,1,8.99,1:36.89,3,8.93,1:37.03,4,8.96,1:37.18
