Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
1,14.12,14.12,3,14.35,14.35,2,14.15,14.15,4,14.36,14.36
2,9.96,24.08,1,9.48,23.83,3,10.06,24.21,4,10.11,24.47
2,9.78,33.86,1,9.97,33.80,3,9.79,34.00,4,9.69,34.16
3,10.06,43.92,1,9.81,43.61,2,9.80,43.80,4,9.91,44.07
3,9.78,53.70,1,9.82,53.43,2,9.78,53.58,4,9.81,53.88
3,9.97,1:03.67,1,9.99,1:03.42,2,9.96,1:03.54,4,9.95,1:03.83
3,9.74,1:13.41,1,9.73,1:13.15,2,9.76,1:13.30,4,9.65,1:13.48
3,9.44,1:22.85,1,9.47,1:22.62,2,9.45,1:22.75,4,9.41,1:22.89
4,9.64,1:32.481,1,9.61,1:32.223,2,9.51,1:32.251,3,9.41,1:32.297
