HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME
3,9.33,9.33,6,9.64,,1,9.06,9.06,7,9.78,9.78,5,9.48,9.48,2,9.16,9.16,4,9.35,9.35
4,11.83,21.16,6,11.72,,2,11.84,20.90,7,11.68,21.46,5,11.78,21.26,3,11.86,21.02,1,11.48,20.83
4,11.33,32.49,6,11.35,,2,11.36,32.26,7,11.37,32.83,5,11.34,32.60,3,11.33,32.35,1,11.34,32.17
3,11.08,43.57,6,11.24,,2,11.26,43.52,7,11.27,44.10,5,11.21,43.81,4,11.23,43.58,1,11.27,43.44
4,10.58,54.15,6,10.54,,2,10.36,53.88,7,10.53,54.63,5,10.49,54.30,1,10.20,53.78,3,10.59,54.03
4,9.70,1:03.85,6,9.70,,2,9.75,1:03.63,7,9.67,1:04.30,5,9.66,1:03.96,1,9.74,1:03.52,3,9.72,1:03.75
3,9.70,1:13.55,6,9.72,,4,9.96,1:13.59,7,9.73,1:14.03,5,9.82,1:13.78,1,9.86,1:13.38,2,9.75,1:13.50
1,9.20,1:22.75,6,9.56,,5,9.67,1:23.26,7,9.59,1:23.62,4,9.47,1:23.25,2,9.49,1:22.87,3,9.52,1:23.02
1,9.62,1:32.37,4,9.14,,6,9.54,1:32.80,7,9.33,1:32.95,5,9.54,1:32.79,2,9.58,1:32.45,3,9.55,1:32.57
1,9.25,1:41.62,5,9.46,,6,9.49,1:42.29,7,9.50,1:42.45,2,8.94,1:41.73,3,9.31,1:41.76,4,9.34,1:41.91
2,8.97,1:50.59,5,8.97,,6,9.28,1:51.57,7,9.31,1:51.76,1,8.70,1:50.43,3,8.89,1:50.65,4,9.05,1:50.96
2,8.91,1:59.50,4,9.04,,6,9.53,2:01.10,7,9.35,2:01.11,1,8.94,1:59.37,3,8.93,1:59.58,5,9.23,2:00.19
2,8.97,2:08.47,4,9.29,,7,9.81,2:10.91,6,9.63,2:10.74,1,8.93,2:08.30,3,9.03,2:08.61,5,9.51,2:09.70
2,9.19,2:17.647,4,9.66,,6,9.94,2:20.827,5,9.94,2:20.665,1,9.31,2:17.589,3,9.18,2:17.775,4,10.14,2:19.813
