Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Daniela IVANOVA POSITION,Daniela IVANOVA LAP TIME,Daniela IVANOVA ELAPSED TIME
1,11.806,11.806,3,12.059,12.059,4,12.110,12.110,5,12.436,12.436,2,11.978,11.978
1,15.137,26.943,2,15.105,27.164,3,15.073,27.183,4,14.964,27.400,5,15.930,27.908
2,13.873,40.816,3,13.745,40.909,4,13.892,41.076,5,13.939,41.339,1,12.689,40.597
2,13.095,53.911,4,13.313,54.222,3,13.093,54.168,5,13.149,54.488,1,13.024,53.621
2,13.059,1:06.970,3,12.951,1:07.173,4,13.046,1:07.214,5,12.884,1:07.372,1,13.216,1:06.837
1,12.265,1:19.235,4,12.237,1:19.410,3,12.142,1:19.357,5,12.304,1:19.676,2,12.458,1:19.295
2,11.688,1:30.923,3,11.672,1:31.082,4,11.764,1:31.120,5,11.685,1:31.361,1,11.536,1:30.831
2,11.018,1:41.941,3,10.970,1:42.052,4,11.068,1:42.188,5,11.002,1:42.363,1,10.851,1:41.682
1,10.187,1:52.129,3,10.219,1:52.272,4,10.313,1:52.501,5,10.328,1:52.691,2,10.520,1:52.202
1,9.573,2:01.701,2,9.713,2:01.984,5,10.015,2:02.516,4,9.662,2:02.353,3,9.821,2:02.023
1,9.770,2:11.471,2,9.644,2:11.628,5,10.103,2:12.619,4,9.554,2:11.907,3,9.663,2:11.686
1,9.530,2:21.001,2,9.593,2:21.221,5,10.290,2:22.909,4,9.595,2:21.502,3,9.621,2:21.307
1,9.631,2:30.632,3,9.666,2:30.887,5,10.635,2:33.544,4,9.664,2:31.165,2,9.574,2:30.882
1,9.515,2:40.147,2,9.999,2:40.886,5,11.059,2:44.603,4,10.159,2:41.324,3,10.017,2:40.898
