Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME
5,8.97,8.97,2,8.64,8.64,4,8.82,8.82,1,8.43,8.43,3,8.64,8.64,6,9.01,9.01
5,11.06,20.03,3,11.11,19.75,4,11.05,19.87,2,11.21,19.64,1,10.89,19.53,6,11.23,20.24
1,9.92,29.95,5,10.75,30.50,3,10.45,30.32,4,10.72,30.36,2,10.71,30.24,6,10.43,30.67
2,10.49,40.44,1,9.85,40.35,3,10.16,40.48,4,10.22,40.58,5,10.43,40.67,6,10.02,40.69
4,10.42,50.86,2,10.40,50.75,1,10.15,50.63,5,10.40,50.98,3,10.11,50.78,6,10.39,51.08
4,9.70,1:00.56,3,9.66,1:00.41,1,9.66,1:00.29,6,9.93,1:00.91,2,9.58,1:00.36,5,9.82,1:00.90
4,9.94,1:10.50,3,9.98,1:10.39,1,9.92,1:10.21,6,9.80,1:10.71,2,9.92,1:10.28,5,9.69,1:10.59
4,10.20,1:20.70,3,10.22,1:20.61,1,10.25,1:20.46,6,10.17,1:20.88,2,10.27,1:20.55,5,10.20,1:20.79
1,10.06,1:30.76,5,19.06,1:39.67,3,10.58,1:31.04,4,10.16,1:31.04,6,25.70,1:46.25,2,10.10,1:30.89
1,9.82,1:40.58,5,13.51,1:53.18,4,9.89,1:40.93,3,9.78,1:40.82,6,16.22,2:02.47,2,9.82,1:40.71
1,9.77,1:50.35,5,11.18,2:04.36,4,9.77,1:50.70,3,9.81,1:50.63,6,11.17,2:13.64,2,9.84,1:50.55
1,9.37,1:59.72,5,11.05,2:15.41,2,9.78,2:00.48,3,9.90,2:00.53,6,11.19,2:24.83,4,10.06,2:00.61
1,9.56,2:09.28,5,11.28,2:26.69,2,9.77,2:10.25,3,10.11,2:10.64,6,11.20,2:36.03,4,10.42,2:11.03
1,10.46,2:19.738,5,11.89,2:38.575,2,10.12,2:20.369,3,10.36,2:20.995,0,,PEN,4,10.61,2:21.640
