David GROSSENBACHER POSITION,David GROSSENBACHER LAP TIME,David GROSSENBACHER ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Zsolt Istvan PATAKI POSITION,Zsolt Istvan PATAKI LAP TIME,Zsolt Istvan PATAKI ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME
2,13.560,13.560,1,13.432,13.432,4,13.740,13.740,3,13.597,13.597
1,10.264,23.823,4,17.796,31.228,3,10.842,24.582,2,10.529,24.125
1,10.610,34.433,4,15.249,46.477,2,10.047,34.628,3,10.612,34.737
1,10.677,45.109,4,11.796,58.272,2,10.542,45.169,3,10.638,45.374
3,10.499,55.607,4,11.464,1:09.736,2,10.435,55.604,1,10.193,55.567
2,10.194,1:05.801,4,10.909,1:20.644,3,10.450,1:06.053,1,9.899,1:05.466
2,10.166,1:15.966,4,11.767,1:32.411,3,10.216,1:16.268,1,10.107,1:15.572
2,10.176,1:26.142,4,12.181,1:44.591,3,10.104,1:26.372,1,10.310,1:25.882
2,10.48,1:36.620,4,12.81,1:57.393,3,10.56,1:36.930,1,10.57,1:36.449
