Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME
4,14.430,14.430,1,14.259,14.259,3,14.280,14.280,2,14.270,14.270
4,10.738,25.167,3,10.783,25.042,2,10.747,25.027,1,10.293,24.562
4,9.826,34.993,2,9.862,34.904,3,9.964,34.991,1,10.279,34.841
1,9.328,44.320,3,9.703,44.607,4,9.635,44.625,2,9.617,44.457
1,9.486,53.806,3,9.652,54.258,4,9.652,54.277,2,9.592,54.048
1,9.538,1:03.344,3,9.474,1:03.731,4,9.472,1:03.749,2,9.418,1:03.466
1,9.291,1:12.634,3,9.256,1:12.987,4,9.272,1:13.021,2,9.396,1:12.862
1,9.413,1:22.047,3,9.405,1:22.391,4,9.417,1:22.438,2,9.377,1:22.238
1,9.38,1:31.425,3,9.16,1:31.551,4,9.20,1:31.636,2,9.28,1:31.514
