Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME
1,10.59,10.59,4,10.69,10.69,3,10.65,10.65,2,10.64,10.64,5,10.87,10.87,6,10.91,10.91,8,11.14,11.14,7,10.92,10.92
4,15.27,25.86,6,15.29,25.98,5,15.30,25.95,3,15.19,25.83,8,15.43,26.30,7,15.17,26.08,1,14.40,25.54,2,14.78,25.70
5,12.05,37.91,6,12.19,38.17,4,11.63,37.58,1,10.74,36.57,8,12.18,38.48,7,12.26,38.34,2,11.59,37.13,3,11.64,37.34
5,10.03,47.94,6,9.88,48.05,4,9.75,47.33,1,9.36,45.93,8,9.82,48.30,7,9.83,48.17,2,9.96,47.09,3,9.89,47.23
5,10.11,58.05,6,10.04,58.09,4,10.45,57.78,1,9.50,55.43,8,9.97,58.27,7,10.01,58.18,2,10.48,57.57,3,10.43,57.66
5,10.78,1:08.83,7,10.91,1:09.00,4,10.92,1:08.70,1,9.55,1:04.98,8,10.75,1:09.02,6,10.73,1:08.91,2,10.99,1:08.56,3,10.95,1:08.61
6,11.02,1:19.85,8,11.06,1:20.06,5,11.03,1:19.73,1,9.83,1:14.81,2,10.21,1:19.23,7,11.06,1:19.97,3,10.94,1:19.50,4,11.02,1:19.63
6,9.89,1:29.74,8,9.89,1:29.95,5,9.83,1:29.56,1,10.23,1:25.04,2,9.55,1:28.78,7,9.87,1:29.84,3,9.75,1:29.25,4,9.83,1:29.46
6,9.48,1:39.22,8,9.54,1:39.49,5,9.54,1:39.10,1,10.60,1:35.64,2,9.64,1:38.42,7,9.63,1:39.47,3,9.61,1:38.86,4,9.56,1:39.02
3,9.26,1:48.48,7,9.61,1:49.10,5,9.55,1:48.65,1,10.75,1:46.39,2,9.79,1:48.21,8,9.99,1:49.46,3,9.62,1:48.48,6,9.66,1:48.68
2,9.32,1:57.80,7,9.63,1:58.73,5,9.57,1:58.22,1,11.03,1:57.42,3,9.81,1:58.02,8,10.08,1:59.54,4,9.72,1:58.20,6,9.71,1:58.39
1,10.05,2:07.85,5,9.81,2:08.54,3,9.84,2:08.06,6,11.20,2:08.62,2,9.99,2:08.01,8,10.32,2:09.86,7,10.46,2:08.66,4,10.04,2:08.43
1,10.09,2:17.94,4,9.95,2:18.49,2,9.98,2:18.04,7,11.32,2:19.94,3,10.22,2:18.23,8,10.36,2:20.22,6,10.89,2:19.55,5,10.41,2:18.84
1,10.04,2:27.954,3,9.77,2:28.234,2,10.09,2:28.105,8,11.00,2:30.914,4,10.28,2:28.486,7,10.24,2:30.438,6,10.87,2:30.397,5,11.01,2:29.824
