Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,JIA Haidong POSITION,JIA Haidong LAP TIME,JIA Haidong ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME
1,6.83,6.83,2,7.08,7.08,3,7.22,7.22,5,7.32,7.32,4,7.27,
1,8.90,15.73,2,8.75,15.83,4,8.96,16.18,5,9.36,16.68,3,8.68,
2,8.32,24.05,1,8.21,24.04,4,8.24,24.42,5,8.45,25.13,3,8.21,
2,8.44,32.49,1,8.38,32.42,4,8.31,32.73,5,8.65,33.78,3,8.34,
4,10.20,42.69,1,8.80,41.22,3,8.66,41.39,5,9.10,42.88,2,8.83,
