Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Kim de DAPPER POSITION,Kim de DAPPER LAP TIME,Kim de DAPPER ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Olesya OSKINA POSITION,Olesya OSKINA LAP TIME,Olesya OSKINA ELAPSED TIME,Tatiana ZIMOVA POSITION,Tatiana ZIMOVA LAP TIME,Tatiana ZIMOVA ELAPSED TIME,KO Gi-Hyun POSITION,KO Gi-Hyun LAP TIME,KO Gi-Hyun ELAPSED TIME
2,9.425,9.425,1,9.173,9.173,5,9.620,9.620,3,9.499,9.499,6,9.732,9.732,4,9.606,9.606
3,12.351,21.775,2,12.515,21.687,1,11.997,21.616,5,12.477,21.976,6,12.374,22.105,4,12.326,21.931
1,12.204,33.979,3,12.333,34.020,2,12.382,33.998,4,12.275,34.250,6,12.306,34.411,5,12.409,34.339
3,12.715,46.693,4,12.689,46.708,1,12.605,46.603,5,12.558,46.808,6,12.599,47.009,2,12.339,46.678
2,11.637,58.330,5,11.884,58.592,3,11.732,58.334,4,11.585,58.393,6,11.780,58.788,1,11.558,58.236
1,10.185,1:08.514,5,10.479,1:09.071,2,10.303,1:08.636,4,10.498,1:08.891,6,10.607,1:09.395,3,10.523,1:08.759
1,10.703,1:19.217,5,10.422,1:19.493,2,10.654,1:19.289,4,10.568,1:19.459,6,10.878,1:20.272,3,10.573,1:19.332
1,10.662,1:29.879,5,10.791,1:30.284,3,10.804,1:30.093,4,10.710,1:30.168,6,10.951,1:31.223,2,10.729,1:30.060
1,10.949,1:40.827,5,11.007,1:41.290,2,10.846,1:40.939,4,10.877,1:41.044,6,27.137,1:58.360,3,10.880,1:40.940
1,10.498,1:51.325,5,10.998,1:52.288,4,10.907,1:51.846,3,10.519,1:51.563,6,13.352,2:11.712,2,10.427,1:51.367
1,10.239,2:01.563,5,11.633,2:03.920,3,9.902,2:01.747,4,10.287,2:01.849,6,12.812,2:24.523,2,10.313,2:01.679
2,10.027,2:11.589,5,11.782,2:15.702,4,9.962,2:11.709,1,9.554,2:11.403,6,12.704,2:37.227,3,9.960,2:11.639
1,9.907,2:21.496,5,12.099,2:27.800,3,10.005,2:21.713,4,10.696,2:22.098,6,13.291,2:50.517,2,9.876,2:21.514
1,9.92,2:31.417,5,12.43,2:40.226,3,10.17,2:31.882,4,10.85,2:32.940,6,14.40,3:04.913,2,9.97,2:31.479
