PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,Kristina KOBLER POSITION,Kristina KOBLER LAP TIME,Kristina KOBLER ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
4,9.08,9.08,3,8.92,8.92,2,8.89,8.89,5,9.23,9.23,1,8.75,8.75
4,12.44,21.52,3,12.48,21.40,2,12.34,21.23,5,12.39,21.62,1,12.37,21.12
4,12.03,33.55,3,12.04,33.44,2,12.08,33.31,5,12.06,33.68,1,12.06,33.18
4,11.63,45.18,2,11.62,45.06,3,11.83,45.14,5,11.69,45.37,1,11.79,44.97
1,10.30,55.48,2,10.60,55.66,4,10.75,55.89,5,10.65,56.02,3,10.80,55.77
1,10.74,1:06.22,2,10.70,1:06.36,4,10.69,1:06.58,5,10.72,1:06.74,3,10.71,1:06.48
2,11.24,1:17.46,1,11.02,1:17.38,4,11.18,1:17.76,5,11.14,1:17.88,3,11.14,1:17.62
2,10.66,1:28.12,1,10.63,1:28.01,3,10.49,1:28.25,5,10.71,1:28.59,4,10.64,1:28.26
2,10.46,1:38.58,1,10.48,1:38.49,3,10.47,1:38.72,5,10.81,1:39.40,4,10.66,1:38.92
2,10.00,1:48.58,1,9.99,1:48.48,3,9.97,1:48.69,5,10.74,1:50.14,4,9.92,1:48.84
2,10.11,1:58.69,1,10.11,1:58.59,3,10.12,1:58.81,5,11.34,2:01.48,4,10.10,1:58.94
2,10.04,2:08.73,1,10.05,2:08.64,3,10.07,2:08.88,5,12.17,2:13.65,4,10.10,2:09.04
1,9.94,2:18.67,2,10.03,2:18.67,3,10.03,2:18.91,5,13.02,2:26.67,4,9.96,2:19.00
1,9.84,2:28.504,2,10.22,2:28.882,4,28.57,2:47.474,3,13.04,2:39.702,0,,DQ
