PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,7.02,7.02,4,7.37,7.37,2,7.13,7.13,5,7.46,7.46,3,7.28,7.28
3,9.35,16.37,5,9.52,16.89,1,9.00,16.13,4,9.15,16.61,2,9.00,16.28
4,8.90,25.27,5,9.12,26.01,1,8.54,24.67,3,8.61,25.22,2,8.51,24.79
4,9.06,34.33,5,9.14,35.15,1,8.76,33.43,3,8.66,33.88,2,8.71,33.50
4,9.28,43.61,5,9.38,44.53,2,9.05,42.48,3,8.84,42.72,1,8.76,42.26
