Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Thomas PEARCE POSITION,Thomas PEARCE LAP TIME,Thomas PEARCE ELAPSED TIME
1,14.35,14.35,3,14.65,14.65,2,14.51,14.51,4,14.66,14.66
3,10.77,25.13,1,10.35,25.01,2,10.56,25.07,4,10.52,25.19
1,10.48,35.61,3,10.65,35.66,2,10.54,35.61,4,10.57,35.76
2,9.99,45.60,4,10.25,45.92,3,10.00,45.62,1,9.83,45.59
1,9.53,55.14,4,9.93,55.86,3,9.66,55.28,2,9.65,55.25
1,9.43,1:04.58,4,9.89,1:05.75,3,9.72,1:05.00,2,9.59,1:04.84
1,9.44,1:14.02,4,9.92,1:15.68,2,9.58,1:14.59,3,9.87,1:14.72
1,9.61,1:23.63,4,10.09,1:25.77,2,9.88,1:24.47,3,10.19,1:24.91
1,10.35,1:33.979,4,10.68,1:36.442,2,10.44,1:34.907,3,10.51,1:35.417
