Bulat VALIULLIN POSITION,Bulat VALIULLIN LAP TIME,Bulat VALIULLIN ELAPSED TIME,LI Haonan POSITION,LI Haonan LAP TIME,LI Haonan ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
3,15.555,15.555,2,15.452,15.452,1,15.212,15.212,4,15.808,15.808
1,10.019,25.574,3,10.601,26.053,2,10.752,25.963,4,10.444,26.252
3,11.557,37.131,2,10.625,36.677,1,10.645,36.607,4,10.891,37.142
4,9.737,46.867,3,10.006,46.683,1,9.940,46.547,2,9.446,46.588
3,9.146,56.013,2,9.273,55.956,4,9.827,56.373,1,9.313,55.900
1,9.371,1:05.383,2,9.456,1:05.411,4,9.411,1:05.783,3,9.693,1:05.593
1,9.403,1:14.786,2,9.386,1:14.797,4,9.483,1:15.266,3,9.442,1:15.035
2,9.597,1:24.382,1,9.519,1:24.316,4,9.687,1:24.953,3,9.578,1:24.612
2,9.11,1:33.486,1,9.15,1:33.463,4,9.84,1:34.791,3,9.04,1:33.643
