Samra SELIMBEGOVIC POSITION,Samra SELIMBEGOVIC LAP TIME,Samra SELIMBEGOVIC ELAPSED TIME,Caroline MURPHY POSITION,Caroline MURPHY LAP TIME,Caroline MURPHY ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,Gioya LANCEE POSITION,Gioya LANCEE LAP TIME,Gioya LANCEE ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME
5,15.67,15.67,4,15.54,15.54,3,15.36,15.36,1,15.24,15.24,2,15.27,15.27
5,10.60,26.27,4,10.59,26.13,3,10.67,26.03,2,10.73,25.97,1,10.59,25.86
5,10.77,37.04,4,10.73,36.86,3,10.73,36.76,2,10.71,36.68,1,10.72,36.58
5,10.84,47.88,4,10.86,47.72,3,10.73,47.49,2,10.68,47.36,1,10.66,47.24
5,10.94,58.82,4,10.24,57.96,3,10.01,57.50,2,10.00,57.36,1,10.09,57.33
5,11.51,1:10.33,4,10.02,1:07.98,3,9.76,1:07.26,1,9.51,1:06.87,2,9.82,1:07.15
5,12.03,1:22.36,4,10.40,1:18.38,3,9.81,1:17.07,1,9.66,1:16.53,2,9.81,1:16.96
5,13.66,1:36.02,4,11.09,1:29.47,3,10.02,1:27.09,1,9.78,1:26.31,2,10.07,1:27.03
5,13.96,1:49.98,4,11.92,1:41.39,3,10.54,1:37.63,1,9.99,1:36.30,2,10.47,1:37.50
