PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
2,13.68,,1,13.57,13.57,4,13.83,13.83,2,13.68,13.68,4,13.83,13.83
2,9.98,,1,9.98,23.55,5,10.09,23.92,4,10.08,23.76,3,9.92,23.75
2,9.83,,1,9.82,33.37,5,9.94,33.86,4,9.96,33.72,3,9.85,33.60
2,9.94,,1,9.97,43.34,5,9.87,43.73,4,9.92,43.64,3,9.94,43.54
2,9.85,,1,9.83,53.17,5,9.95,53.68,4,9.89,53.53,3,9.85,53.39
2,9.74,,1,9.74,1:02.91,5,9.63,1:03.31,4,9.67,1:03.20,3,9.70,1:03.09
3,9.67,,2,9.59,1:12.50,5,9.70,1:13.01,4,9.60,1:12.80,1,9.39,1:12.48
3,9.58,,2,9.63,1:22.13,5,9.79,1:22.80,4,9.59,1:22.39,1,9.56,1:22.04
2,9.91,,4,10.49,1:32.62,4,10.10,1:32.877,3,9.82,1:32.21,1,9.85,1:31.89
