UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME
2,12.7914,12.7914,3,12.9418,12.9418,1,12.4636,12.4636,4,13.8628,13.8628
3,9.4210,22.2124,4,9.3853,22.3271,1,9.3739,21.8375,2,8.2027,22.0655
1,9.1010,31.3134,3,9.2487,31.5758,4,12.9600,34.7975,2,9.3749,31.4404
1,9.3559,40.6693,3,9.9226,41.4984,4,11.1393,45.9368,2,9.5118,40.9522
1,9.4897,50.1590,3,9.8650,51.3634,4,9.9854,55.9222,2,9.3310,50.2832
2,9.8286,59.9876,3,9.6846,1:01.0480,4,9.4247,1:05.3469,1,9.5684,59.8516
1,9.7083,1:09.6959,3,9.7748,1:10.8228,4,9.7917,1:15.1386,2,9.9746,1:09.8262
2,9.5913,1:19.2872,3,9.4572,1:20.2800,4,9.7018,1:24.8404,1,9.4367,1:19.2629
2,9.4144,1:28.7016,3,9.3225,1:29.6025,4,9.6605,1:34.5009,1,9.2297,1:28.4926
1,9.5075,1:38.2091,3,9.7548,1:39.3573,4,9.7449,1:44.2458,2,9.7877,1:38.2803
2,9.6774,1:47.8865,3,9.8365,1:49.1938,4,9.7289,1:53.9747,1,9.3893,1:47.6696
2,9.7113,1:57.5978,3,9.8618,1:59.0556,4,9.6443,2:03.6190,1,9.5592,1:57.2288
2,9.5081,2:07.1059,3,9.7870,2:08.8426,4,9.9656,2:13.5846,1,9.6372,2:06.8660
2,9.3932,2:16.4991,3,9.6610,2:18.5036,4,9.9305,2:23.5151,1,9.3386,2:16.2046
2,9.3632,2:25.8623,3,9.7002,2:28.2038,4,9.8072,2:33.3223,1,9.1320,2:25.3366
2,9.5568,2:35.4191,3,10.0545,2:38.2583,4,9.6915,2:43.0138,1,9.6524,2:34.9890
2,9.6753,2:45.0944,3,10.0835,2:48.3418,4,9.7716,2:52.7854,1,9.6274,2:44.6164
2,9.6297,2:54.7241,3,10.1184,2:58.4602,4,14.4934,3:07.2788,1,9.5288,2:54.1452
2,9.7383,3:04.4624,3,10.3942,3:08.8544,4,10.5500,3:17.8288,1,9.6393,3:03.7845
2,9.2962,3:13.7586,3,9.9001,3:18.7545,4,10.2305,3:28.0593,1,9.4105,3:13.1950
2,9.7370,3:23.4956,3,9.8993,3:28.6538,4,10.5874,3:38.6467,1,9.4521,3:22.6471
2,10.3746,3:33.8702,3,10.2671,3:38.9209,4,10.4967,3:49.1434,1,9.5777,3:32.2248
2,9.9339,3:43.8041,3,10.1388,3:49.0597,4,10.3368,3:59.4802,1,9.7307,3:41.9555
2,10.2083,3:54.0124,3,10.3299,3:59.3896,4,10.3537,4:09.8339,1,9.8464,3:51.8019
2,10.0904,4:04.1028,3,10.1204,4:09.5100,4,10.6516,4:20.4855,1,9.8416,4:01.6435
2,9.8293,4:13.9321,3,9.8854,4:19.3954,4,10.3837,4:30.8692,1,9.5166,4:11.1601
2,10.14,4:24.066,3,9.88,4:29.273,4,10.66,4:41.526,1,9.54,4:20.694
