HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME
1,12.65,12.65,2,12.70,12.70,3,12.72,12.72,4,12.96,12.96
2,10.08,22.73,1,10.01,22.71,3,10.14,22.86,4,10.03,22.99
1,9.73,32.46,3,9.83,32.54,2,9.65,32.51,4,9.71,32.70
1,9.42,41.88,3,9.57,42.11,2,9.45,41.96,4,9.52,42.22
1,9.57,51.45,3,9.49,51.60,2,9.56,51.52,4,9.43,51.65
2,9.38,1:00.83,3,9.46,1:01.06,1,9.19,1:00.71,4,9.43,1:01.08
1,9.03,1:09.86,4,9.26,1:10.32,2,9.22,1:09.93,3,9.05,1:10.13
1,9.23,1:19.09,4,9.24,1:19.56,2,9.20,1:19.13,3,9.12,1:19.25
1,9.37,1:28.459,4,9.28,1:28.838,2,9.47,1:28.593,3,9.46,1:28.706
