SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Erika LINDGREN POSITION,Erika LINDGREN LAP TIME,Erika LINDGREN ELAPSED TIME,LIN Yu-Tzu POSITION,LIN Yu-Tzu LAP TIME,LIN Yu-Tzu ELAPSED TIME
6,11.07,11.07,4,10.73,10.73,5,10.83,10.83,3,10.53,,2,10.44,10.44,1,10.19,10.19
6,12.71,23.78,4,12.79,23.52,5,12.85,23.68,3,12.86,,2,12.87,23.31,1,12.99,23.18
6,12.55,36.33,4,12.57,36.09,5,12.55,36.23,3,12.56,,2,12.54,35.85,1,12.54,35.72
5,12.35,48.68,4,12.47,48.56,6,12.63,48.86,2,12.44,,3,12.60,48.45,1,12.60,48.32
5,12.59,1:01.27,4,12.58,1:01.14,6,12.60,1:01.46,2,12.52,,3,12.59,1:01.04,1,12.45,1:00.77
5,11.80,1:13.07,2,11.73,1:12.87,6,11.72,1:13.18,1,11.92,,4,11.92,1:12.96,3,12.11,1:12.88
4,10.48,1:23.55,2,10.48,1:23.35,6,10.52,1:23.70,1,10.46,,3,10.50,1:23.46,5,10.69,1:23.57
1,9.62,1:33.17,4,10.02,1:33.37,3,9.65,1:33.35,2,9.96,,5,10.13,1:33.59,6,10.16,1:33.73
2,10.11,1:43.28,4,10.04,1:43.41,1,9.85,1:43.20,3,10.12,,5,9.95,1:43.54,6,9.87,1:43.60
1,9.96,1:53.24,4,10.17,1:53.58,2,10.16,1:53.36,3,10.07,,5,10.26,1:53.80,6,10.31,1:53.91
1,9.74,2:02.98,2,9.79,2:03.37,3,10.25,2:03.61,4,10.25,,6,10.75,2:04.55,5,10.42,2:04.33
2,9.68,2:12.66,3,9.49,2:12.86,4,9.99,2:13.60,1,8.46,,6,14.06,2:18.61,5,10.18,2:14.51
1,9.73,2:22.39,2,9.82,2:22.68,3,10.00,2:23.60,5,13.61,,6,20.40,2:39.01,4,10.55,2:25.06
1,9.68,2:32.061,2,10.10,2:32.768,3,9.96,2:33.549,5,12.14,,5,20.56,2:59.524,4,10.98,2:36.026
