AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Dustin MILLER POSITION,Dustin MILLER LAP TIME,Dustin MILLER ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
3,7.27,7.27,1,6.93,6.93,2,7.07,7.07,4,7.31,7.31
3,9.46,16.73,1,9.25,16.18,2,9.20,16.27,4,9.54,16.85
4,9.05,25.78,1,8.75,24.93,2,8.74,25.01,3,8.74,25.59
4,9.33,35.11,1,9.06,33.99,2,9.10,34.11,3,9.06,34.65
4,9.38,44.487,1,9.23,43.216,2,9.21,43.314,3,8.94,43.581
