Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,13.11,13.11,3,13.12,13.12,1,13.01,13.01,4,13.27,13.27
3,9.55,22.66,1,9.29,22.41,2,9.49,22.50,4,9.46,22.73
3,9.59,32.25,1,9.60,32.01,2,9.63,32.13,4,9.60,32.33
3,9.60,41.85,2,9.71,41.72,1,9.54,41.67,4,9.70,42.03
3,9.26,51.11,2,9.27,50.99,1,9.21,50.88,4,9.16,51.19
3,9.10,1:00.21,2,9.11,1:00.10,1,9.11,59.99,4,9.11,1:00.30
3,9.07,1:09.28,2,9.07,1:09.17,1,9.07,1:09.06,4,9.07,1:09.37
3,8.82,1:18.10,2,8.91,1:18.08,1,8.87,1:17.93,4,8.85,1:18.22
2,8.72,1:26.813,0,,PEN,1,8.88,1:26.801,3,9.01,1:27.226
