Jasper BRUNSMANN POSITION,Jasper BRUNSMANN LAP TIME,Jasper BRUNSMANN ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,Adam TIMAR POSITION,Adam TIMAR LAP TIME,Adam TIMAR ELAPSED TIME,Luca LIM POSITION,Luca LIM LAP TIME,Luca LIM ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,de Vin WONG POSITION,de Vin WONG LAP TIME,de Vin WONG ELAPSED TIME
2,8.70,8.70,3,8.83,,5,9.11,9.11,1,8.61,8.61,4,8.94,8.94,7,9.38,9.38,6,9.24,
2,12.36,21.06,3,12.37,,5,12.28,21.39,1,12.32,20.93,4,12.37,21.31,7,12.21,21.59,6,12.25,
3,11.97,33.03,4,11.95,,2,11.62,33.01,1,11.92,32.85,5,11.91,33.22,7,11.86,33.45,6,11.85,
3,10.30,43.33,4,10.23,,2,10.24,43.25,1,10.30,43.15,5,10.18,43.40,6,10.16,43.61,7,10.29,
5,16.50,59.83,6,16.62,,2,10.28,53.53,1,10.28,53.43,7,17.98,1:01.38,3,15.60,59.21,4,15.64,
4,10.57,1:10.40,5,10.89,,2,10.14,1:03.67,1,10.17,1:03.60,7,12.51,1:13.89,3,9.30,1:08.51,6,11.87,
4,10.90,1:21.30,5,10.87,,1,9.81,1:13.48,2,10.27,1:13.87,7,10.73,1:24.62,3,9.27,1:17.78,6,11.45,
5,11.22,1:32.52,4,10.62,,1,10.01,1:23.49,2,10.19,1:24.06,6,10.55,1:35.17,3,9.47,1:27.25,7,12.88,
5,11.10,1:43.62,4,11.14,,1,10.35,1:33.84,2,10.45,1:34.51,6,10.74,1:45.91,3,9.68,1:36.93,7,12.55,
4,11.27,1:54.89,5,11.43,,1,10.30,1:44.14,2,10.87,1:45.38,6,10.85,1:56.76,3,10.15,1:47.08,7,12.66,
4,11.26,2:06.15,5,11.31,,1,10.30,1:54.44,2,11.36,1:56.74,6,10.72,2:07.48,3,10.31,1:57.39,7,13.08,
4,11.40,2:17.55,5,11.42,,1,10.62,2:05.06,3,11.72,2:08.46,6,10.56,2:18.04,2,10.65,2:08.04,7,14.22,
4,11.11,2:28.66,6,11.73,,1,11.01,2:16.07,3,12.04,2:20.50,5,10.71,2:28.75,2,11.04,2:19.08,7,14.15,
4,10.98,2:39.64,5,12.17,,1,11.09,2:27.16,3,12.12,2:32.62,6,14.65,2:43.40,2,11.81,2:30.89,7,14.59,2:56.72
