LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
3,7.009,7.009,1,6.716,6.716,2,6.832,6.832
2,9.293,16.302,3,9.641,16.356,1,8.659,15.491
3,8.920,25.222,2,8.332,24.688,1,8.700,24.191
3,9.131,34.353,2,8.468,33.156,1,8.799,32.990
3,9.983,44.337,1,8.703,41.859,2,9.041,42.031
