Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
2,8.54,8.54,3,8.63,8.63,1,8.51,8.51,6,9.09,9.09,5,8.89,8.89,4,8.80,8.80
2,12.66,21.20,4,12.64,21.27,1,12.53,21.04,3,12.17,21.26,6,12.63,21.52,5,12.60,21.40
4,11.65,32.85,6,11.84,33.11,2,11.60,32.64,3,11.46,32.72,5,11.46,32.98,1,11.14,32.54
2,11.44,44.29,5,11.29,44.40,4,11.71,44.35,6,11.75,44.47,3,11.33,44.31,1,11.70,44.24
5,10.13,54.42,2,9.84,54.24,4,10.02,54.37,6,10.10,54.57,1,9.89,54.20,3,10.10,54.34
6,10.02,1:04.44,3,9.99,1:04.23,1,9.71,1:04.08,5,9.85,1:04.42,2,9.98,1:04.18,4,10.00,1:04.34
4,9.74,1:14.18,2,9.72,1:13.95,3,9.91,1:13.99,6,9.96,1:14.38,1,9.73,1:13.91,5,9.93,1:14.27
5,9.45,1:23.63,2,9.45,1:23.40,3,9.52,1:23.51,6,9.37,1:23.75,1,9.38,1:23.29,4,9.33,1:23.60
5,9.50,1:33.13,3,9.52,1:32.92,4,9.52,1:33.03,6,9.47,1:33.22,1,9.42,1:32.71,2,9.20,1:32.80
5,9.26,1:42.39,3,9.13,1:42.05,4,9.21,1:42.24,6,9.22,1:42.44,1,9.23,1:41.94,2,9.24,1:42.04
4,8.99,1:51.38,2,9.20,1:51.25,3,9.04,1:51.28,5,9.01,1:51.45,1,9.04,1:50.98,6,9.60,1:51.64
4,9.01,2:00.39,2,8.88,2:00.13,3,9.00,2:00.28,5,9.01,2:00.46,1,8.95,1:59.93,6,9.02,2:00.66
4,8.89,2:09.28,2,8.94,2:09.07,3,8.90,2:09.18,5,8.95,2:09.41,1,8.97,2:08.90,6,8.94,2:09.60
3,9.03,2:18.303,2,9.18,2:18.245,5,9.22,2:18.400,4,8.99,2:18.392,1,9.02,2:17.917,6,9.12,2:18.720
