Kristina VUTEVA POSITION,Kristina VUTEVA LAP TIME,Kristina VUTEVA ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME
3,13.87,13.87,1,13.78,13.78,4,14.08,14.08,2,13.80,13.80
3,10.28,24.15,2,10.28,24.06,4,10.22,24.30,1,10.15,23.95
3,10.34,34.49,1,10.28,34.34,4,10.33,34.63,2,10.40,34.35
3,10.13,44.62,1,10.17,44.51,4,10.04,44.67,2,10.25,44.60
4,10.63,55.25,2,10.23,54.74,1,9.80,54.47,3,10.24,54.84
4,10.04,1:05.29,2,9.89,1:04.63,1,9.95,1:04.42,3,9.88,1:04.72
4,9.95,1:15.24,2,9.89,1:14.52,1,9.95,1:14.37,3,9.88,1:14.60
4,10.62,1:25.86,2,10.31,1:24.83,1,10.33,1:24.70,3,10.32,1:24.92
4,11.31,1:37.170,2,10.49,1:35.314,1,10.50,1:35.191,3,10.51,1:35.430
