VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME,Triphop THONGNGAM POSITION,Triphop THONGNGAM LAP TIME,Triphop THONGNGAM ELAPSED TIME
4,7.59,7.59,5,7.65,7.65,1,7.23,7.23,2,7.50,7.50,3,7.52,7.52
5,9.69,17.28,2,9.20,16.85,1,8.98,16.21,3,9.56,17.06,4,9.58,17.10
4,8.95,26.23,2,8.78,25.63,1,8.61,24.82,5,10.08,27.14,3,9.08,26.18
3,8.95,35.18,2,8.63,34.26,1,8.81,33.63,5,10.43,37.57,4,9.06,35.24
3,9.01,44.19,2,8.99,43.25,1,8.97,42.60,5,11.05,48.62,4,9.07,44.31
