LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME
2,7.000,7.000,1,6.734,6.734,4,7.542,7.542,3,7.386,7.386
2,9.011,16.010,1,9.204,15.937,3,8.766,16.307,4,9.056,16.442
3,9.217,25.227,1,8.549,24.486,4,9.063,25.370,2,8.379,24.820
3,8.863,34.089,1,9.405,33.891,4,8.837,34.207,2,9.085,33.905
4,9.47,43.559,1,9.21,43.098,2,9.02,43.226,3,9.39,43.291
