Alanna KRAUS POSITION,Alanna KRAUS LAP TIME,Alanna KRAUS ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Olga LOPATKINA POSITION,Olga LOPATKINA LAP TIME,Olga LOPATKINA ELAPSED TIME,Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME,HAN Yueshuang POSITION,HAN Yueshuang LAP TIME,HAN Yueshuang ELAPSED TIME
1,8.925,8.925,3,9.361,9.361,4,9.510,9.510,2,9.294,9.294,5,9.818,9.818
1,13.698,22.623,3,13.611,22.971,2,13.459,22.968,4,13.753,23.047,5,13.414,23.231
1,12.875,35.497,3,12.898,35.869,4,12.907,35.875,2,12.713,35.760,5,12.966,36.197
1,12.611,48.107,3,12.500,48.369,4,12.806,48.680,2,12.417,48.176,5,12.697,48.894
2,11.885,59.991,4,11.852,1:00.220,5,11.806,1:00.486,1,11.760,59.936,3,11.276,1:00.170
2,11.068,1:11.059,3,10.990,1:11.210,4,10.908,1:11.393,1,11.114,1:11.049,5,11.240,1:11.409
3,11.799,1:22.857,1,11.413,1:22.623,5,11.656,1:23.049,2,11.782,1:22.831,4,11.549,1:22.958
2,12.042,1:34.899,5,12.566,1:35.188,4,12.046,1:35.094,1,12.001,1:34.832,3,12.124,1:35.081
2,12.342,1:47.240,4,12.338,1:47.525,5,19.745,1:54.838,1,12.134,1:46.966,3,12.286,1:47.367
1,11.265,1:58.505,3,11.190,1:58.715,5,11.449,2:06.287,2,11.560,1:58.526,4,11.375,1:58.742
2,10.640,2:09.145,3,10.529,2:09.244,5,11.903,2:18.189,1,10.534,2:09.059,4,10.646,2:09.388
2,10.231,2:19.376,3,10.149,2:19.393,5,13.045,2:31.234,1,10.309,2:19.368,4,10.141,2:19.528
2,10.055,2:29.431,3,10.134,2:29.526,5,12.135,2:43.368,1,9.978,2:29.346,4,10.260,2:29.788
1,10.05,2:39.479,4,10.98,2:40.505,5,11.82,2:55.182,2,10.34,2:39.682,3,10.21,2:39.989
