Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME
1,14.35,14.35,4,14.79,14.79,2,14.48,14.48,3,14.66,14.66
1,11.23,25.58,4,11.21,26.00,2,11.23,25.71,3,11.18,25.84
1,10.61,36.19,4,10.49,36.49,2,10.52,36.23,3,10.41,36.25
3,9.43,45.62,4,9.22,45.71,2,9.25,45.48,1,9.11,45.36
3,9.24,54.86,4,9.31,55.02,1,9.15,54.63,2,9.35,54.71
3,9.14,1:04.00,4,9.11,1:04.13,1,9.15,1:03.78,2,9.16,1:03.87
3,9.20,1:13.20,4,9.21,1:13.34,1,9.22,1:13.00,2,9.21,1:13.08
3,9.38,1:22.58,4,9.43,1:22.77,1,9.40,1:22.40,2,9.46,1:22.54
2,9.48,1:32.06,4,9.60,1:32.354,1,9.62,1:32.02,3,9.75,1:32.274
