J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
2,12.66,12.66,4,12.98,12.98,3,12.79,12.79,1,12.52,12.52
2,9.59,22.25,3,9.33,22.31,4,9.54,22.33,1,9.57,22.09
2,9.32,31.57,3,9.33,31.64,4,9.40,31.73,1,9.36,31.45
2,9.37,40.94,3,9.39,41.03,4,9.39,41.12,1,9.39,40.84
2,9.20,50.14,3,9.20,50.23,4,9.27,50.39,1,9.17,50.01
2,9.16,59.30,3,9.15,59.38,4,9.08,59.47,1,9.16,59.17
3,9.10,1:08.40,4,9.16,1:08.54,2,8.86,1:08.33,1,9.06,1:08.23
3,8.85,1:17.25,4,8.85,1:17.39,2,8.82,1:17.15,1,8.80,1:17.03
2,8.82,1:26.066,4,8.70,1:26.091,3,8.94,1:26.088,1,8.91,1:25.935
