Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Eric BEDARD POSITION,Eric BEDARD LAP TIME,Eric BEDARD ELAPSED TIME
2,13.187,13.187,3,13.274,13.274,4,13.350,13.350,5,13.424,13.424,1,13.063,13.063
4,9.813,23.000,2,9.574,22.847,3,9.651,23.000,5,9.655,23.079,1,9.722,22.785
3,9.092,32.091,1,9.076,31.922,4,9.098,32.097,5,9.126,32.205,2,9.150,31.935
4,9.120,41.210,1,9.064,40.986,2,9.043,41.140,5,9.190,41.395,3,9.239,41.173
1,9.096,50.306,2,9.328,50.314,4,9.264,50.404,5,9.130,50.525,3,9.165,50.337
3,9.310,59.616,5,9.326,59.639,4,9.223,59.627,2,9.032,59.556,1,8.978,59.315
2,9.191,1:08.806,5,9.433,1:09.072,3,9.308,1:08.934,4,9.476,1:09.032,1,9.443,1:08.757
4,9.393,1:18.199,5,9.710,1:18.781,2,9.071,1:18.005,1,8.516,1:17.547,3,9.311,1:18.067
3,9.46,1:27.656,5,10.39,1:29.168,4,9.68,1:27.679,1,9.72,1:27.265,2,9.48,1:27.546
