Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME
1,9.59,9.59,2,9.69,9.69,4,9.89,9.89,5,10.07,10.07,3,9.78,9.78
1,15.92,25.51,2,15.94,25.63,4,16.07,25.96,5,16.06,26.13,3,15.99,25.77
2,14.83,40.34,3,14.79,40.42,4,14.47,40.43,1,14.11,40.24,5,14.83,40.60
1,12.36,52.70,2,12.36,52.78,5,12.69,53.12,4,12.72,52.96,3,12.27,52.87
3,12.79,1:05.49,2,12.69,1:05.47,1,12.29,1:05.41,5,13.00,1:05.96,4,12.83,1:05.70
2,11.94,1:17.43,3,12.01,1:17.48,1,11.92,1:17.33,5,11.82,1:17.78,4,11.88,1:17.58
1,12.20,1:29.63,3,12.20,1:29.68,2,12.32,1:29.65,5,12.25,1:30.03,4,12.30,1:29.88
2,10.91,1:40.54,1,10.72,1:40.40,3,11.01,1:40.66,5,10.90,1:40.93,4,10.91,1:40.79
2,10.66,1:51.20,1,10.74,1:51.14,3,10.67,1:51.33,5,10.68,1:51.61,4,10.65,1:51.44
2,10.41,2:01.61,3,10.49,2:01.63,1,10.26,2:01.59,5,10.38,2:01.99,4,10.38,2:01.82
2,9.72,2:11.33,4,9.83,2:11.46,1,9.64,2:11.23,5,9.67,2:11.66,3,9.61,2:11.43
3,9.88,2:21.21,4,9.87,2:21.33,1,9.83,2:21.06,2,9.49,2:21.15,5,9.93,2:21.36
3,9.84,2:31.05,5,10.02,2:31.35,2,9.91,2:30.97,1,9.26,2:30.41,4,9.91,2:31.27
3,10.05,2:41.093,0,,PEN,2,10.01,2:40.979,1,9.85,2:40.258,4,9.98,2:41.245
