Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Robert LAWRENCE POSITION,Robert LAWRENCE LAP TIME,Robert LAWRENCE ELAPSED TIME,YANG Jin POSITION,YANG Jin LAP TIME,YANG Jin ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
2,7.03,7.03,3,7.11,7.11,1,6.75,6.75,4,7.22,7.22
2,9.02,16.05,3,9.04,16.15,1,9.09,15.84,4,9.04,16.26
2,8.63,24.68,3,8.61,24.76,1,8.82,24.66,4,8.52,24.78
1,8.51,33.19,4,8.97,33.73,2,8.83,33.49,3,8.88,33.66
1,8.89,42.075,4,8.96,42.687,2,9.01,42.497,3,8.93,42.584
