LIN Meng POSITION,LIN Meng LAP TIME,LIN Meng ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME
2,9.44,9.44,3,9.60,9.60,1,9.38,9.38,4,9.75,9.75,5,9.96,9.96
2,13.91,23.35,3,13.89,23.49,1,13.80,23.18,4,13.92,23.67,5,13.83,23.79
2,14.30,37.65,3,14.35,37.84,1,14.29,37.47,4,14.34,38.01,5,14.48,38.27
1,13.70,51.35,3,13.68,51.52,2,13.91,51.38,4,13.73,51.74,5,13.61,51.88
2,12.00,1:03.35,1,11.72,1:03.24,3,12.08,1:03.46,4,11.89,1:03.63,5,11.92,1:03.80
2,12.83,1:16.18,1,12.75,1:15.99,4,12.83,1:16.29,3,12.65,1:16.28,5,12.70,1:16.50
2,10.89,1:27.07,3,11.21,1:27.20,4,11.01,1:27.30,1,10.77,1:27.05,5,11.01,1:27.51
3,10.78,1:37.85,4,10.85,1:38.05,2,10.53,1:37.83,1,10.77,1:37.82,5,10.75,1:38.26
1,10.43,1:48.28,4,10.57,1:48.62,3,10.66,1:48.49,2,10.55,1:48.37,5,10.50,1:48.76
1,10.36,1:58.64,4,10.35,1:58.97,3,10.37,1:58.86,2,10.36,1:58.73,5,10.38,1:59.14
1,10.07,2:08.71,4,10.11,2:09.08,3,10.08,2:08.94,2,10.07,2:08.80,5,10.04,2:09.18
1,9.95,2:18.66,5,9.90,2:18.98,3,9.94,2:18.88,2,9.95,2:18.75,4,9.70,2:18.88
2,9.88,2:28.54,5,9.83,2:28.81,4,9.91,2:28.79,3,9.89,2:28.64,1,9.53,2:28.41
2,10.06,2:38.592,4,10.01,2:38.812,5,10.56,2:39.347,3,10.06,2:38.693,1,10.06,2:38.465
