THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,SOMOGYI Barbara POSITION,SOMOGYI Barbara LAP TIME,SOMOGYI Barbara ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,DANNEEL Alexandra POSITION,DANNEEL Alexandra LAP TIME,DANNEEL Alexandra ELAPSED TIME
1,7.47,7.47,4,7.85,7.85,2,7.71,7.71,3,7.83,7.83
1,9.61,17.08,3,9.78,17.63,2,9.69,17.40,4,9.89,17.72
1,9.17,26.25,3,9.06,26.69,2,9.15,26.55,4,9.10,26.82
1,9.37,35.62,2,9.23,35.92,3,9.38,35.93,4,9.24,36.06
1,9.56,45.18,2,9.47,45.393,3,9.65,45.585,4,9.70,45.762
