J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
1,12.39,12.39,3,12.57,12.57,2,12.47,12.47,4,12.74,12.74
2,9.92,22.31,3,9.81,22.38,1,9.78,22.25,4,9.74,22.48
2,9.75,32.06,3,9.76,32.14,1,9.71,31.96,4,9.73,32.21
2,9.69,41.75,3,9.68,41.82,1,9.67,41.63,4,9.70,41.91
2,9.56,51.31,3,9.57,51.39,1,9.56,51.19,4,9.56,51.47
2,9.36,1:00.67,3,9.35,1:00.74,1,9.37,1:00.56,4,9.35,1:00.82
2,9.15,1:09.82,3,9.13,1:09.87,1,9.17,1:09.73,4,9.17,1:09.99
2,9.06,1:18.88,3,9.15,1:19.02,1,9.11,1:18.84,4,9.11,1:19.10
1,8.96,1:27.838,2,8.91,1:27.930,4,9.23,1:28.069,3,8.92,1:28.017
