Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME
3,7.64,7.64,2,7.33,7.33,1,7.23,7.23,4,9.46,9.46
4,9.64,17.28,2,9.67,17.00,1,9.70,16.93,3,7.73,17.20
4,9.09,26.38,1,9.06,26.06,2,9.24,26.18,3,9.14,26.34
3,9.16,35.54,1,9.25,35.31,2,9.19,35.37,4,9.60,35.94
3,9.44,44.971,1,9.57,44.871,2,9.56,44.923,4,9.88,45.812
