Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Lasse WILMS POSITION,Lasse WILMS LAP TIME,Lasse WILMS ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
4,7.64,7.64,1,7.44,7.44,2,7.46,7.46,3,7.52,7.52
3,9.74,17.38,2,9.31,16.75,4,9.93,17.39,1,9.22,16.74
3,9.04,26.42,2,8.89,25.64,4,9.50,26.89,1,8.76,25.50
3,9.05,35.47,2,8.88,34.52,4,9.67,36.56,1,8.87,34.37
3,9.21,44.676,2,9.27,43.790,4,9.91,46.462,1,9.09,43.459
