Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,Samra SELIMBEGOVIC POSITION,Samra SELIMBEGOVIC LAP TIME,Samra SELIMBEGOVIC ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Iulia KROMIDO POSITION,Iulia KROMIDO LAP TIME,Iulia KROMIDO ELAPSED TIME
4,11.40,11.40,3,11.34,11.34,1,10.92,10.92,2,11.08,11.08,5,11.70,11.70
2,19.95,31.35,1,19.95,31.29,3,20.46,31.38,4,20.42,31.50,5,20.16,31.86
4,20.29,51.64,2,19.91,51.20,3,20.18,51.56,1,19.53,51.03,5,20.03,51.89
1,14.93,1:06.57,4,15.93,1:07.13,3,15.42,1:06.98,5,16.31,1:07.34,2,14.87,1:06.76
1,12.23,1:18.80,3,11.86,1:18.99,4,12.08,1:19.06,5,11.82,1:19.16,2,12.11,1:18.87
1,11.99,1:30.79,3,12.17,1:31.16,4,12.20,1:31.26,5,12.73,1:31.89,2,12.14,1:31.01
4,12.69,1:43.48,3,12.21,1:43.37,2,12.09,1:43.35,5,11.83,1:43.72,1,12.11,1:43.12
2,11.63,1:55.11,4,12.14,1:55.51,1,11.71,1:55.06,5,12.68,1:56.40,3,12.14,1:55.26
1,10.71,2:05.82,3,10.71,2:06.22,4,11.18,2:06.24,2,9.57,2:05.97,5,11.23,2:06.49
1,9.70,2:15.52,3,10.74,2:16.96,2,9.65,2:15.89,4,11.05,2:17.02,5,10.62,2:17.11
1,9.74,2:25.26,5,10.87,2:27.83,2,9.53,2:25.42,3,8.50,2:25.52,4,10.38,2:27.49
2,9.63,2:34.89,5,11.25,2:39.08,1,9.38,2:34.80,3,9.65,2:35.17,4,10.73,2:38.22
3,10.07,2:44.96,5,11.59,2:50.67,2,9.66,2:44.46,1,9.20,2:44.37,4,11.59,2:49.81
2,9.65,2:54.611,5,12.82,3:03.482,1,10.02,2:54.473,3,10.83,2:55.194,4,11.96,3:01.765
