Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,Olesya OSKINA POSITION,Olesya OSKINA LAP TIME,Olesya OSKINA ELAPSED TIME,Jade WHEELER POSITION,Jade WHEELER LAP TIME,Jade WHEELER ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME
2,14.143,14.143,1,13.681,13.681,3,14.236,14.236,4,14.438,14.438
1,10.358,24.500,3,10.992,24.672,2,10.396,24.631,4,10.277,24.715
2,10.550,35.050,1,10.232,34.903,4,10.702,35.333,3,10.505,35.219
2,10.561,45.610,1,10.387,45.290,4,10.355,45.687,3,10.415,45.634
2,10.331,55.941,1,10.125,55.414,3,10.284,55.971,4,10.494,56.128
3,10.124,1:06.064,1,10.286,1:05.700,4,10.206,1:06.177,2,9.799,1:05.926
3,10.324,1:16.387,1,10.180,1:15.879,4,10.435,1:16.612,2,10.387,1:16.313
3,10.170,1:26.557,2,10.008,1:25.886,4,10.408,1:27.020,1,9.497,1:25.809
4,11.43,1:37.987,2,11.37,1:37.249,3,10.68,1:37.694,1,10.25,1:36.055
