FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME
1,11.73,11.73,2,11.81,11.81,3,12.03,12.03
2,9.37,21.10,1,9.24,21.06,3,9.23,21.27
2,9.36,30.47,1,9.27,30.33,3,9.32,30.59
2,9.39,39.86,1,9.14,39.47,3,9.48,40.07
2,9.06,48.93,1,9.04,48.52,3,8.95,49.03
2,8.91,57.84,1,8.91,57.44,3,8.92,57.95
2,8.99,1:06.84,1,9.14,1:06.58,3,9.01,1:06.96
2,9.20,1:16.04,1,9.20,1:15.79,3,9.16,1:16.13
2,9.57,1:25.62,1,9.61,1:25.40,3,9.58,1:25.72
2,9.31,1:34.94,1,9.09,1:34.49,3,9.26,1:34.99
3,9.06,1:44.00,1,9.12,1:43.61,2,8.92,1:43.92
2,8.80,1:52.81,1,9.04,1:52.65,3,8.95,1:52.87
2,9.21,2:02.02,1,9.10,2:01.76,3,9.16,2:02.03
2,9.08,2:11.10,3,9.44,2:11.20,1,9.02,2:11.06
3,9.40,2:20.50,2,9.14,2:20.34,1,9.14,2:20.20
3,9.35,2:29.86,2,9.33,2:29.67,1,9.28,2:29.49
3,9.21,2:39.08,2,9.09,2:38.77,1,8.92,2:38.41
3,8.95,2:48.03,2,9.03,2:47.80,1,9.15,2:47.57
3,8.93,2:56.96,2,8.94,2:56.74,1,8.81,2:56.39
3,8.98,3:05.95,2,8.75,3:05.50,1,9.07,3:05.46
3,9.05,3:15.00,1,9.07,3:14.58,2,9.28,3:14.75
3,9.49,3:24.49,1,9.07,3:23.65,2,9.09,3:23.84
3,9.39,3:33.89,2,9.12,3:32.78,1,8.82,3:32.66
2,9.15,3:43.05,0,,,1,8.89,3:41.56
3,8.78,3:51.84,2,0.00,3:50.92,1,8.84,3:50.41
3,8.86,4:00.70,2,9.21,4:00.14,1,9.14,3:59.55
3,9.39,4:10.083,2,9.45,4:09.589,1,9.66,4:09.204
