Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME
1,12.60,12.60,2,12.71,12.71,3,12.86,12.86,4,12.94,12.94
1,10.36,22.96,2,10.33,23.04,3,10.26,23.12,4,10.25,23.19
1,10.07,33.03,2,10.10,33.14,3,10.11,33.23,4,10.14,33.33
1,10.10,43.13,2,10.10,43.24,3,10.11,43.34,4,10.07,43.40
1,9.63,52.76,2,9.56,52.80,3,9.55,52.89,4,9.61,53.01
3,9.21,1:01.97,1,8.94,1:01.74,2,8.99,1:01.88,4,8.98,1:01.99
4,9.15,1:11.12,1,9.13,1:10.87,2,9.04,1:10.92,3,9.03,1:11.02
4,9.26,1:20.38,1,9.22,1:20.09,2,9.35,1:20.27,3,9.34,1:20.36
2,9.38,1:29.758,1,9.56,1:29.646,3,9.51,1:29.775,4,9.85,1:30.207
